赤子の手を捻る,あかごのてをひねる,あかごのてをねじる
虎にして冠す,とらにしてかんす,とらにしてかんむりす
取り越し苦労,とりこしくろう,とりこしぐろう
納得尽く,なっとくずく,なっとくづく
生兵法は大疵の基,なまびょうほうはおおきずのもと,なまびょうほうはおおきずのもとい
名を腐す,なをくたす,なをくだす
名を雪ぐ,なをそそぐ,なをすすぐ
握れば拳開けば掌,にぎればこぶしひらけばてのひら,にぎればこぶしひらけばたなごころ
寝覚めが良い,ねざめがいい,ねざめがよい
望みを属す,のぞみをぞくす,のぞみをしょくす
野辺の煙,のべのけむり,のべのけぶり
蚤の息さえ天に上る,のみのいきさえてんにのぼる,のみのいきさえてんにあがる
蚤の夫婦,のみのふうふ,のみのめおと
杯中の蛇影,はいちゅうのだえい,はいちゅうのじゃえい
羽織破落戸,はおりごろ,はおりごろつき
破鏡重円,はきょうじゅうえん,はきょうちょうえん
恥を雪ぐ,はじをそそぐ,はじをすすぐ
肌を汚す,はだをよごす,はだをけがす
花の顔,はなのかんばせ,はなのかお,はなのかおばせ
埴生の小屋,はにゅうのこや,はにゅうのおや
浜の真砂,はまのまさご,はまのまなご
早い所,はやいとこ,はやところ
腹黒い,はらぐろい,はらぐろい
贔屓偏頗,ひいきへんぱ
非業の死,ひごうのし,ひごうのしに
膝とも談合,ひざともだんごう,ひざともだんこう
膝を抱く,ひざをだく,ひざをいだく
人が好い,ひとがよい,ひとがいい
人は故郷を離れて貴し,ひとはこきょうをはなれてたっとし,ひとはこきょうをはなれてとうとし
独り法師,ひとりぼっち,ひとりぽっち
罅が入る,ひびがはいる,ひびがいる
暇を出す,ひまをだす,ひまをいだす
百鬼夜行,ひゃっきやこう,ひゃっきやぎょう
不意を食う,ふいをくう,ふいをくらう
負薪之憂,ふしんのうれい,ふしんのうれえ,ふしんのゆう
卞和の璧,べんかのへき,べんかのたま
へんちき・へんちきりん,へんちき,へんちきりん
仏の目を抜く,ほとけのめをぬく,ほとけのまなこをぬく
本来無一物,ほんらいむいちもつ,ほんらいむいちぶつ
間が好い,まがいい,まがよい
瞬く間,またたくま,またたくあいだ
実入りが良い,みいりがよい,みいりがいい
身が入る,みがはいる,みがいる
水雑炊を食わせる,みずそうすいをくわせる,みずそうすいをくらわせる
水を得た魚,みずをえたうお,みずをえたさかな
皆の衆,みなのしゅう,みなのしゅ
耳留まる,みみとどまる,みみとまる
耳留む,みみとどむ,みみとむ
耳に入る,みみにいる,みみにはいる
耳に留まる,みみにとどまる,みみにとまる
耳に留める,みみにとどめる,みみにとめる
耳を傾ける,みみをかたむける,みみをかたぶける
未来永劫,みらいえいごう,みらいようごう
無悪不造,むあくふぞう,むあくぶぞう
無何有の郷,むかうのさと,むかうのきょう
虫が好い,むしがいい,むしがよい
胸糞が悪い,むなくそがわるい,むなくそがわりい
空しき煙,むなしきけぶり,むなしきけむり
胸が悪い,むねがわるい,むねがわろい,むねがわりい
無明の眠り,むみょうのねむり,むみょうのねぶり
飯櫃の底を叩く,めしびつのそこをはたく,めしびつのそこをたたく
目を眠る,めをねむる,めをねぶる
面を被る,めんをかぶる,めんをかむる
百舌の草潜,もずのくさぐき,もずのかやぐき
木鶏に似たり,もっけいににたり,ぼっけいににたり
物の喩え,もののたとえ,もののたとい
八重の潮路,やえのしおじ,やえのしおみち
柳の眉,やなぎのまゆ,やなぎのまよ
藪に馬鍬,やぶにまぐわ,やぶにまんぐわ,やぶにうまぐわ
行き合いの夫婦,ゆきあいのめおと,ゆきあいのみょうと
楊枝を違える,ようじをちがえる,ようじをたがえる
横紙を破る,よこがみをやぶる,よこがみをやる
夜半の煙,よわのけぶり,よわのけむり
夜を徹す,よをとおす,よをてっす
両刀遣い,りょうとうづか,りょうとつかい
我が身を抓って人の痛さを知れ,わがみをつねってひとのいたさをしれ,わがみをつめってひとのいたさをしれ
脇を塞ぐ,わきをふさぐ,わきをふたぐ
割って入る,わってはいる,わっている
